train_loss, test_loss 
5.2310, 4.7678
4.5403, 4.3713
4.1881, 4.0395
3.9298, 3.8828
3.7322, 3.7206
3.6571, 3.6302
3.6041, 3.5692
3.4962, 3.5131
3.4202, 3.4880
3.4306, 3.3993
3.3340, 3.3547
3.2619, 3.2845
3.2823, 3.2453
3.1711, 3.1880
3.1282, 3.1341
3.0831, 3.0842
2.9946, 3.0573
2.9288, 3.0231
2.9223, 3.0042
2.8977, 2.9058
2.8988, 2.9073
2.8678, 2.9014
2.7856, 2.8564
2.7526, 2.8419
2.7796, 2.8447
2.7396, 2.8136
2.7204, 2.8048
2.7245, 2.7739
2.7236, 2.7837
2.6793, 2.7788
2.6510, 2.7283
2.6162, 2.7340
2.6377, 2.7617
2.6572, 2.7431
2.6440, 2.6854
2.6481, 2.6712
2.6441, 2.6679
2.5823, 2.6678
2.5406, 2.6466
2.5637, 2.6834
2.5707, 2.6496
2.5474, 2.6717
2.5490, 2.6686
2.5280, 2.6084
2.5227, 2.6244
2.5235, 2.6385
2.5023, 2.5687
2.5120, 2.6089
2.5158, 2.5804
2.5106, 2.6374
2.4963, 2.5629
2.4904, 2.5759
2.4904, 2.5666
2.4944, 2.5945
2.4633, 2.5645
2.4871, 2.5470
2.4425, 2.5473
2.4784, 2.5539
2.4626, 2.5316
2.4434, 2.5865
2.4274, 2.5460
2.4060, 2.5209
2.4565, 2.5461
2.4492, 2.5108
2.4513, 2.5419
2.4556, 2.5375
2.4094, 2.5179
2.4479, 2.4883
2.4197, 2.5314
2.3932, 2.4971
2.4222, 2.4743
2.3837, 2.5289
2.4710, 2.5114
2.4185, 2.4893
2.3666, 2.5019
2.3819, 2.4921
2.4075, 2.4840
2.4281, 2.4938
2.3703, 2.4859
2.3959, 2.4652
2.3685, 2.4755
2.3587, 2.4979
2.3593, 2.4686
2.3869, 2.4562
2.3468, 2.4769
2.3382, 2.5038
2.3456, 2.4747
2.3550, 2.4871
2.3732, 2.4596
2.4064, 2.4961
2.3791, 2.4678
2.3473, 2.4604
2.3655, 2.4359
2.3248, 2.4508
2.3264, 2.4366
2.3240, 2.4322
2.3084, 2.5018
2.3244, 2.4568
2.3155, 2.4353
2.3272, 2.4659
2.3173, 2.4846
2.3020, 2.4763
2.3467, 2.4580
2.3387, 2.4297
2.3072, 2.4550
2.3190, 2.4427
2.3226, 2.4378
2.3144, 2.4534
2.2884, 2.4369
2.2881, 2.4504
2.2944, 2.4669
2.3224, 2.4401
2.3062, 2.4518
2.3482, 2.4216
2.3340, 2.4412
2.3268, 2.4554
2.3071, 2.4363
2.2611, 2.4458
2.2740, 2.4241
2.3013, 2.4543
2.2865, 2.4364
2.2949, 2.4330
2.3044, 2.4191
2.2858, 2.4689
2.2760, 2.4058
2.3257, 2.4438
2.2899, 2.4211
2.3056, 2.4318
2.3015, 2.4292
2.2988, 2.4195
2.2750, 2.4206
2.2907, 2.4286
2.2663, 2.4110
2.2633, 2.4242
2.2605, 2.4399
2.2707, 2.4097
2.2638, 2.4010
2.2748, 2.4365
2.2629, 2.3880
2.2913, 2.3977
2.2774, 2.4116
2.2882, 2.4237
2.2770, 2.4142
2.3101, 2.4171
2.2394, 2.4430
2.2442, 2.4333
2.2759, 2.4577
2.2795, 2.4425
2.2879, 2.4040
2.2553, 2.4067
2.2812, 2.3868
2.2587, 2.3819
2.2582, 2.4203
2.2356, 2.3913
2.2782, 2.4063
2.2628, 2.3830
2.2224, 2.3854
2.2669, 2.3916
2.2232, 2.3906
2.2694, 2.3914
2.2627, 2.4176
2.2068, 2.4312
2.2346, 2.3945
2.2396, 2.4147
2.2347, 2.4055
2.2457, 2.4147
2.2389, 2.4024
2.2535, 2.3773
2.2536, 2.4052
2.2751, 2.4035
2.2423, 2.4022
2.2293, 2.4004
2.2668, 2.4036
2.2464, 2.3936
2.2079, 2.3886
2.2644, 2.4008
2.2333, 2.3787
2.2816, 2.4007
2.2454, 2.4012
2.2495, 2.3986
2.2297, 2.3909
2.2473, 2.4182
2.2607, 2.3639
2.2075, 2.4227
2.2048, 2.4035
2.2469, 2.4011
2.2073, 2.4242
2.2519, 2.4113
2.2241, 2.3892
2.2244, 2.4017
2.2179, 2.4034
2.2830, 2.3923
2.2156, 2.3806
2.2427, 2.3730
2.2502, 2.4029
2.2192, 2.3863
2.2380, 2.3630
2.2282, 2.4207
2.1949, 2.4197
2.1901, 2.3818
2.2249, 2.4199
2.2137, 2.3873
2.1996, 2.4060
2.2112, 2.4156
2.2223, 2.4041
2.1681, 2.3637
2.2081, 2.4238
2.2090, 2.3967
2.2181, 2.4384
2.2174, 2.3798
2.2017, 2.3954
2.2177, 2.3877
2.1962, 2.3896
2.2148, 2.3742
2.1856, 2.3935
2.1955, 2.3766
2.2155, 2.3662
2.2102, 2.3686
2.2214, 2.3828
2.2155, 2.3781
2.2538, 2.3543
2.2191, 2.3602
2.1932, 2.3683
2.2074, 2.3918
2.2252, 2.3698
2.1932, 2.4205
2.2176, 2.3608
2.2054, 2.3874
2.2307, 2.3519
2.1983, 2.4008
2.1943, 2.4313
2.2211, 2.3777
2.2164, 2.4219
2.1803, 2.3937
2.1923, 2.3683
2.1950, 2.3728
2.1883, 2.3753
2.1835, 2.3908
2.1910, 2.3940
2.2078, 2.4235
2.1980, 2.3943
2.1895, 2.3774
2.2163, 2.3762
2.1783, 2.3876
2.1966, 2.3650
2.1828, 2.3792
2.2235, 2.3898
2.1818, 2.3832
2.2084, 2.4346
2.1767, 2.3751
2.1844, 2.3760
2.2230, 2.3980
2.1938, 2.3966
2.1760, 2.4021
2.1671, 2.4289
2.1709, 2.3695
2.2012, 2.3546
2.2007, 2.3887
2.1764, 2.3698
2.1863, 2.3651
2.1898, 2.3671
2.2258, 2.3802
2.1936, 2.3482
2.1763, 2.3731
2.1841, 2.3999
2.1894, 2.3707
2.2172, 2.3514
2.2057, 2.3551
2.1811, 2.3732
2.1546, 2.3857
2.1709, 2.4031
2.1736, 2.3904
2.1722, 2.3990
2.1559, 2.3776
2.1572, 2.3664
2.1674, 2.3623
2.1132, 2.4092
2.2445, 2.3717
2.2036, 2.3911
2.2213, 2.4041
2.1806, 2.3664
2.1876, 2.3590
2.1881, 2.3703
2.1555, 2.3662
