epoch, train_loss, test_loss 
1,5.1863,4.6542
1,4.6019,4.4737
1,4.4475,4.2207
1,4.2388,4.1882
1,4.1013,3.9521
1,3.9329,3.8492
1,3.8438,3.8553
1,3.7304,3.6854
1,3.6505,3.6326
1,3.6488,3.7041
1,3.5339,3.5519
1,3.5109,3.5083
1,3.4759,3.5007
1,3.3772,3.4287
1,3.3654,3.3894
1,3.3577,3.4015
1,3.2778,3.3634
1,3.2396,3.3023
1,3.1747,3.278
1,3.1662,3.1622
1,3.1068,3.0958
1,3.0232,3.0707
1,2.9561,3.0347
1,2.9529,3.0045
1,2.9048,3.0016
1,2.8566,2.9403
1,2.8029,2.9051
1,2.8209,2.8716
1,2.7895,2.8604
1,2.8203,2.8477
1,2.7935,2.8053
1,2.7733,2.7665
2,2.709,2.7633
2,2.7055,2.754
2,2.6936,2.7318
2,2.6518,2.7367
2,2.6688,2.7022
2,2.6151,2.7104
2,2.6175,2.6872
2,2.5987,2.6734
2,2.6259,2.6985
2,2.5968,2.698
2,2.5627,2.6545
2,2.5263,2.6372
2,2.5393,2.6426
2,2.5703,2.6973
2,2.5501,2.6736
2,2.5191,2.6273
2,2.5424,2.6267
2,2.524,2.6047
2,2.5486,2.6176
2,2.515,2.5971
2,2.5298,2.5844
2,2.5011,2.5744
2,2.4708,2.5497
2,2.4623,2.5571
2,2.4576,2.6094
2,2.461,2.5895
2,2.4811,2.5536
2,2.4616,2.5352
2,2.4659,2.5712
2,2.4659,2.5826
2,2.4255,2.5186
2,2.4609,2.5194
3,2.4225,2.5151
3,2.4031,2.4992
3,2.4042,2.5038
3,2.4289,2.5034
3,2.3894,2.4736
3,2.397,2.4866
3,2.4145,2.475
3,2.4277,2.4538
3,2.3523,2.4998
3,2.3698,2.4712
3,2.3905,2.4823
3,2.3534,2.4623
3,2.4142,2.4598
3,2.3643,2.4864
3,2.3449,2.4645
3,2.3679,2.4512
3,2.3164,2.4534
3,2.327,2.4393
3,2.3294,2.4736
3,2.3326,2.4527
3,2.3429,2.4361
3,2.3164,2.4402
3,2.3275,2.4728
3,2.3316,2.4446
3,2.3433,2.4392
3,2.3191,2.4195
3,2.3409,2.3836
3,2.3313,2.4234
3,2.3182,2.4066
3,2.2902,2.3883
3,2.2978,2.3527
3,2.2904,2.4225
4,2.3569,2.4063
4,2.3192,2.4037
4,2.2726,2.3959
4,2.2899,2.4259
4,2.267,2.4184
4,2.3218,2.3761
4,2.3068,2.3655
4,2.287,2.4194
4,2.2818,2.432
4,2.2603,2.4079
4,2.2754,2.4155
4,2.2736,2.3926
4,2.2595,2.4351
4,2.2656,2.3638
4,2.2587,2.3502
4,2.2561,2.3587
4,2.2178,2.344
4,2.2661,2.3585
4,2.2849,2.3607
4,2.2257,2.3619
4,2.2668,2.4168
4,2.2769,2.3735
4,2.2554,2.3415
4,2.2313,2.354
4,2.2728,2.3858
4,2.2433,2.3438
4,2.2364,2.3645
4,2.2726,2.378
4,2.2424,2.3418
4,2.2312,2.3544
4,2.1857,2.371
4,2.2123,2.3448
5,2.2418,2.3571
5,2.2124,2.338
5,2.2203,2.3534
5,2.222,2.3497
5,2.2223,2.3034
5,2.2248,2.3522
5,2.2096,2.3336
5,2.2482,2.349
5,2.2076,2.3132
5,2.2058,2.3071
5,2.1784,2.3344
5,2.1982,2.3361
5,2.1916,2.2995
5,2.1982,2.3059
5,2.2021,2.3518
5,2.1959,2.3333
5,2.172,2.3211
5,2.1938,2.3038
5,2.1625,2.3246
5,2.2094,2.3614
5,2.2156,2.3962
5,2.1826,2.2971
5,2.1729,2.3046
5,2.1766,2.3093
5,2.2021,2.2938
5,2.199,2.3849
5,2.1537,2.321
5,2.1856,2.2968
5,2.179,2.3327
5,2.1968,2.3194
5,2.1848,2.3175
5,2.173,2.3453
