[2020-06-02 21:42:51] Epoch [1/20], Step [100/1618], Loss: 5.2310, Perplexity: 186.9770, Valid Loss: 4.7678
[2020-06-02 22:00:08] Epoch [1/20], Step [200/1618], Loss: 4.5403, Perplexity: 93.7155, Valid Loss: 4.3713
[2020-06-02 22:17:19] Epoch [1/20], Step [300/1618], Loss: 4.1881, Perplexity: 65.8951, Valid Loss: 4.0395
[2020-06-02 22:33:51] Epoch [1/20], Step [400/1618], Loss: 3.9298, Perplexity: 50.8981, Valid Loss: 3.8828
[2020-06-02 22:50:26] Epoch [1/20], Step [500/1618], Loss: 3.7322, Perplexity: 41.7695, Valid Loss: 3.7206
[2020-06-02 23:06:39] Epoch [1/20], Step [600/1618], Loss: 3.6571, Perplexity: 38.7481, Valid Loss: 3.6302
[2020-06-02 23:22:34] Epoch [1/20], Step [700/1618], Loss: 3.6041, Perplexity: 36.7469, Valid Loss: 3.5692
[2020-06-02 23:38:41] Epoch [1/20], Step [800/1618], Loss: 3.4962, Perplexity: 32.9900, Valid Loss: 3.5131
[2020-06-02 23:54:44] Epoch [1/20], Step [900/1618], Loss: 3.4202, Perplexity: 30.5746, Valid Loss: 3.4880
[2020-06-03 00:10:50] Epoch [1/20], Step [1000/1618], Loss: 3.4306, Perplexity: 30.8942, Valid Loss: 3.3993
[2020-06-03 00:26:59] Epoch [1/20], Step [1100/1618], Loss: 3.3340, Perplexity: 28.0511, Valid Loss: 3.3547
[2020-06-03 00:43:11] Epoch [1/20], Step [1200/1618], Loss: 3.2619, Perplexity: 26.1000, Valid Loss: 3.2845
[2020-06-03 00:59:12] Epoch [1/20], Step [1300/1618], Loss: 3.2823, Perplexity: 26.6378, Valid Loss: 3.2453
[2020-06-03 01:14:36] Epoch [1/20], Step [1400/1618], Loss: 3.1711, Perplexity: 23.8341, Valid Loss: 3.1880
[2020-06-03 01:29:36] Epoch [1/20], Step [1500/1618], Loss: 3.1282, Perplexity: 22.8335, Valid Loss: 3.1341
[2020-06-03 01:44:22] Epoch [1/20], Step [1600/1618], Loss: 3.0831, Perplexity: 21.8251, Valid Loss: 3.0842
[2020-06-03 02:01:59] Epoch [2/20], Step [100/1618], Loss: 2.9946, Perplexity: 19.9778, Valid Loss: 3.0573
[2020-06-03 02:16:25] Epoch [2/20], Step [200/1618], Loss: 2.9288, Perplexity: 18.7049, Valid Loss: 3.0231
[2020-06-03 02:30:49] Epoch [2/20], Step [300/1618], Loss: 2.9223, Perplexity: 18.5837, Valid Loss: 3.0042
[2020-06-03 02:44:58] Epoch [2/20], Step [400/1618], Loss: 2.8977, Perplexity: 18.1331, Valid Loss: 2.9058
[2020-06-03 02:59:10] Epoch [2/20], Step [500/1618], Loss: 2.8988, Perplexity: 18.1525, Valid Loss: 2.9073
[2020-06-03 03:13:10] Epoch [2/20], Step [600/1618], Loss: 2.8678, Perplexity: 17.5978, Valid Loss: 2.9014
[2020-06-03 03:27:46] Epoch [2/20], Step [700/1618], Loss: 2.7856, Perplexity: 16.2099, Valid Loss: 2.8564
[2020-06-03 03:42:24] Epoch [2/20], Step [800/1618], Loss: 2.7526, Perplexity: 15.6835, Valid Loss: 2.8419
